recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_108956,u_1oKVZzv4THPuCQ2sIogt3sy5uFY,knofflerrocks,1,2021-02-11 09:22:16,0,0,0,5,100,<p>A favorite of my hubby. He loves the flavor of this one and so do I!</p>
68,74724,Chocolate Guinness Cake,sp_aUSaElGf_74724_c_115985,u_1oKVdMwdrvRjIXNElUcpvmOBQSJ,kathydew,1,2021-02-11 09:22:48,0,0,0,4,100,<p>Any ideas for non-alcoholic substitute for the beer in this recipe?</p>
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_117943,u_1oKVggQUdGID7oRqTsDfStoLlTg,rockstaralice,1,2021-02-11 09:23:42,0,0,0,5,100,<p>Awesome!!!!!!!!!!!!!!!!!!!!!!</p>
19,1693,Moist Chocolate Cake,sp_aUSaElGf_1693_c_111069,u_1oKVmxKa8OSdxKfiCCutej4RTXe,Punkyjoe81,1,2021-02-11 09:24:37,0,0,0,5,100,"<p>ABSOLUTELY DELCIOUS!  And so easy to make!  I just made it this afternoon with my kids, and it is a HUGE hit.  I used the ""Vanilla Frosting Recipe"" from TOH because I needed something simple for the kids to help me with.  Thank you so much for sharing!</p>"
25,23222,Baked Mushroom Chicken,sp_aUSaElGf_23222_c_122000,u_1oKVmrpQvTsv8GyS1JiA39K9QuI,ryanswife,1,2021-02-11 09:25:06,0,0,0,4,100,<p>Chicken is tender and very good. One of my favorites. My Mom makes this often and I asked her for the recipe. Now I can make it also.</p>
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_148637,u_1oKVsHlQ6OuUN7SveHTTNlqdXwL,MzExpeess,1,2021-02-11 09:36:16,0,0,0,5,100,"<p>Great flavor, fast and easy to prepare. Will add another can of beans or some frozen carrots next time.</p>"
41,35948,Caramel-Pecan Cheesecake Pie,sp_aUSaElGf_35948_c_175468,u_1oKWqQQ0odNiKhuM7wj9asmyxXx,res0ha9p,1,2021-02-11 09:38:57,0,0,0,0,100,"<p>I have made this pie a few times and my family loves it, even my grandma who never likes anything I make!  I love pecan pie but think that it is just too rich.  This is the perfect compromise, though I probably consume more calories this way but it is well worth it!</p><p>Thanks for sharing it!</p><p>Crystal</p>"
67,16579,Chicken Wild Rice Soup,sp_aUSaElGf_16579_c_190984,u_1oKVnELpZcsW9jdhaqSXY2lxsDU,mcjaeger68,1,2021-02-11 09:40:28,0,0,0,5,100,<p>I made this and it is mmm...good. Next time I will make it without the white wine and just use the chicken broth. The wine made it tangy and took away from the flavors of chicken and earthy tone from the mushrooms.</p>
100,82745,Mamaw Emily’s Strawberry Cake,sp_aUSaElGf_82745_c_204836,u_1oKY7CKLaFQpI3cBCVaxHXAEGbt,susieswan,1,2021-02-11 09:45:20,0,0,0,5,100,<p>I received endless compliments on this cake. I used firmer strawberries so the cake held up for several days and I added a thin layer of strawberry jam with the frosting between the layers. I kept the cake in the refrigerator and it was real easy to cut. My husband said it's a keeper recipe!</p>
95,18341,Bacon Macaroni Salad,sp_aUSaElGf_18341_c_215161,u_1oKYO5M7FAEXw1JVPaaB4avr6Y4,colleencauline,1,2021-02-11 09:49:32,0,0,0,5,100,"<p>I was looking for something different to make as opposed to the usual stand-bys that I do, I found this and made it. I made a double batch and was lucky enough to get a small bowl of it. This will not sit around long at all.</p><p>It is our new favorite mac salad.</p>"
98,11767,Quick Cream of Mushroom Soup,sp_aUSaElGf_11767_c_222859,u_1oKYfYL2xzhtd7mTCGKA5OQvHSH,janemcmaster,1,2021-02-11 09:50:58,0,0,0,1,100,"<p>I'm sorry, the one star is all about the flour.  I am actually mad at myself as I should have known better making this recipe.  The flour should have been added with the onions and mushrooms and COOKED.  All I could taste in the final product was 6 T of raw flour.  It ruined the soup for me and I had to dump it as did one of the other reviewers.  I am surprised that your daughter in law who is a gourmet cook didn't know this but maybe something got lost in translation. I am posting this, not to be mean but to suggest that this will be a good soup if you cook that flour.</p><p>Jane</p>"
22,1081,Baked Spaghetti,sp_aUSaElGf_1081_c_253047,u_1oKVaoDvFRlnHTA9ix6pgmJUWiK,shannondobos,1,2021-02-11 09:53:05,0,0,0,4,100,"<p>My husband and I really enjoyed this baked spaghetti.  My only change I made was to leave out the olives because we aren't fans of them.  Next time, to appeal more to the kids I will likely used crushed tomatoes instead of diced because they turned their noses up at the ""tomato chunks"", and be sure to dice up the peppers smaller than I did.</p>"
9,42083,Enchilada Casser-Ole!,sp_aUSaElGf_42083_c_260184,u_1oKZz0rujVjvwR0b5pfhBrzO5eN,Christinna,1,2021-02-11 10:02:08,0,0,0,0,100,"<p>Not sure if anyone else commented on this but the meat mixture makes an AWESOME CHIP DIP!  This is our second time having this.  I made it with 1.5lbs of ground beef, skipped the onion b/c we use chunky salsa, added half a bag of sweet corn (for crunch), mixed in the sour cream and used a whole pkg of taco seasoning.  I was so hungry that I had a taste on a tortilla chip and we actually ate it like that for dinner!  Put some in a bowl, topped with shredded cheese and voila!  As my 4yo says, ""!Delicioso!""</p>"
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_387209,u_1oKVsHlQ6OuUN7SveHTTNlqdXwL,MzExpeess,1,2021-02-11 10:14:52,0,0,0,5,100,"Great flavor, fast and easy to prepare. Will add another can of beans or some frozen carrots next time. "
90,33743,Tennessee Peach Pudding,sp_aUSaElGf_33743_c_402372,u_1oKcCNqXY7UbvgxeE4AzeshK7hd,JenniferBowerman,1,2021-02-11 10:17:15,0,5,1,5,296,"It\'s summer and the fruit is good. So what do I do with all of that healthy fruit? Make desserts of course! I bought some peaches yesterday and then went looking for a recipe to try. I\'m so glad I stumbled upon this one. It turned out really well. The only tweek I made was to follow the  suggestions of sprinkling lemon and sugar on the peaches, letting sit half and hour and using the bit of juice that accumulated in with the water part of the recipe. I don\'t think it made that much difference so following spot on should come out just as well. I didn\'t know what would happen with that water formula. But the top got all brown and crunchy, so good. And this was really easy to whip together on a Sunday afternoon. I will definitely make this again"
3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_383341,u_1oKW5y3LQ2ws6GpAiZUkjCC1T7X,cookb4,1,2021-02-11 10:20:07,0,0,0,5,100,"Delicious!!  I use 1 lb. ground beef, and make it a day before I plan to serve it as we think it\'s better the second day."
31,7708,Basic Banana Muffins,sp_aUSaElGf_7708_c_256467,u_1oKVtbNz1vwPxJ54rnNrJ6jy22i,juliehuffaker,1,2021-02-11 10:22:18,0,0,0,5,100,<p>My only concern is my will power to not eat too many. They are delicious!... and easy</p>
56,27675,Peanut Butter Cup Cheesecake,sp_aUSaElGf_27675_c_374257,u_1oKWD8f8R8GNfrt8G6s2G7hDD93,Nancy_NJ,1,2021-02-11 10:24:22,0,0,0,0,100,<p>Wow! Thanks for posting it sounds and looks wonderful!!</p> <p>Nancy</p>
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_406862,u_1oKVrE8WzwHBbzCK1A1gHyKu5FR,josiezanker,1,2021-02-11 10:31:25,0,0,0,5,100,My husband and I love this recipe!  We make it often!
2,3309,Best Ever Banana Bread,sp_aUSaElGf_3309_c_409865,u_1oKVaBmiEKwAFyiHrDLoWpbel0J,misscoffeepot,1,2021-02-11 10:31:26,0,0,0,5,100,"Really a nice recipe.  My family cannot have nuts, so I sub in raisins instead."
56,27675,Peanut Butter Cup Cheesecake,sp_aUSaElGf_27675_c_277583,u_1oKYaxCXIrnqE8a0518Xthe1zqu,c.houston,1,2021-02-11 10:32:32,0,0,0,5,100,"<p>Substitutions I made:</p><p>- Peak Freans Lifestyle cookies (dark chocolate/cherry) instead of graham cracker crumbs+sandwich cookies. I just used 1 cup and a half of the Lifestyles cookies and it was delish.</p><p>- Instead of hot fudge ice cream topping, I used nutella. ALSO DELICIOUS.</p><p>- I noticed that the peanut butter really did not make an appearance in the final product (maybe I did something wrong), but the peanut oil seeped out of the springform pan and onto the cookie sheet. Which I don't think was a problem, but maybe add more peanut butter? OR perhaps mix it into the batter?</p><p>- I misread the instructions, and melted butter for the crust, but then (Stupidly) measured out 6 tbsps of the melted stuff and only put that in. The crust was definitely drier than I would've liked, it, so don't make the same mistake as me. Always add a lot of butter.</p><p>-I also didn't have an electric mixer, which resulted in a pretty lumpy batter. Luckily I had some extra muscle on hand to stir it up, but I think an electric mixer would have made things easier :p</p><p>- I added cut up peanut butter cups into the batter (before I poured the chocolate part on) and it was SUCH a good idea. They melted into the cake, and it was impossible to see them, but they definitely made the cake richer and more velvety. They added a distinct ""peanut butter cup"" taste. Very good.</p>"
14,7178,Zucchini Cupcake,sp_aUSaElGf_7178_c_171617,u_1oKW7aCcvYI0IYZxyWEAIA1veLO,silly girl,1,2021-02-11 10:34:16,0,0,0,5,100,<p>I have already written something about this recipe but I have to write again.  Previously I used my mom's zucchini recipe and this frosting recipe.  I decided to try this recipe just as it is written and they were incredible.  I did not drain the zucchini either...and there was a lot of liquid too.  This is how good they are...I first made them and accidentally added 1 third cup sugar instead of 1 and a third cup ( my bad handwriting).  My 6 nephews and nieces ran in from outside and grabbed one even though I told them what I did.  They were all gone in less then 5 minutes!!!  I personally didn't care for them but they still raved about how good they  were.  I then made a second batch...to me it was much better:))</p>
45,41384,Black Bean ‘n’ Pumpkin Chili,sp_aUSaElGf_41384_c_193099,u_1oKVfRPpnrDiMBkOSzIMQ9KaJIB,Meesh233,1,2021-02-11 10:39:22,0,0,0,0,100,"<p>I made this for a get together and people declared it the best chili they had ever eaten.  I thought it was good, but slightly bland and needs a little ""something"" else.</p>"
20,6504,Mom’s Meat Loaf,sp_aUSaElGf_6504_c_245917,u_1oKVbHqc4psEbzrHssOTHIBaO9t,jfurnas,1,2021-02-11 10:40:51,0,0,0,5,100,"<p>Moist and very tasty.  It makes a lot of sauce, so I cut the sauce portion of it in half and still had plenty of sauce.</p>"
95,18341,Bacon Macaroni Salad,sp_aUSaElGf_18341_c_320189,u_1oKXB3t9YLxIfaZ89yg9L5d6DLH,momof2nc,1,2021-02-11 10:50:06,0,0,0,5,100,"<p>This is very good.  As I went to write the review, I realized I left out the vinegar when I made this ):  Still very good without it!  I plan to take this to a church dinner in a few weeks.  Fast and simple!</p>"
25,23222,Baked Mushroom Chicken,sp_aUSaElGf_23222_c_277890,u_1oKVncvzuqQdU0wMTH5KmW2XvDA,swagner,1,2021-02-11 10:51:42,0,0,0,5,100,<p>Such a delicious recipe!</p>
67,16579,Chicken Wild Rice Soup,sp_aUSaElGf_16579_c_330911,u_1oKa0ZTqJfgesCiv6a7Q6kj48w5,nisenberg,1,2021-02-11 10:55:42,0,0,0,5,100,"<p>This soup was amazing! I don't like mushrooms, so I omitted them. I cooked the chicken and then used that broth to make the soup, it was super delicious! I am currently on Weight Watchers Points Plus and this is only 4 points per serving. Gonna make some to freeze for individual servings later!</p>"
58,32248,Smothered Chicken Breasts,sp_aUSaElGf_32248_c_253389,u_1oKZLGRPgoXbN9tOawkvkKiTzC9,indygail,1,2021-02-11 10:56:53,0,0,0,5,100,<p>My husband and son both agreed it was the best chicken they have ever had!!!!</p>
75,38183,Baked Tilapia,sp_aUSaElGf_38183_c_328409,u_1oKbn95oHTfptGnhvig0G1U2aSL,Evy143,1,2021-02-11 10:58:30,0,0,0,5,100,<p>This recipe was super easy to make. Drove my husband crazy with the smell and ended up having dinner earlier than usual. I would make this in a heartbeat again. Thank you for posting it!</p>
